BLOCKSIZE;CPU_TIME;GPU_CALCULATION;GPU_TOTAL
1;3.397145;3.433207;6.100055
2;3.465935;1.705315;4.327507
3;3.488935;1.169446;3.778922
4;3.483884;0.855917;3.428256
5;3.486439;0.699283;3.274336
6;3.817940;0.572880;3.283645
7;4.012553;0.493117;3.581504
8;3.338758;0.458074;3.013530
9;3.304003;0.401357;2.944551
10;3.342396;0.346122;2.760278
11;3.288609;0.316339;2.686646
12;3.312992;0.303226;2.760509
13;3.285903;0.268298;2.637837
14;3.311579;0.276250;2.682608
15;3.285573;0.233136;2.588592
16;3.297539;0.218666;2.623184
17;3.294051;0.206365;2.589603
18;3.293750;0.195734;2.623581
19;3.279710;0.186928;2.564842
20;3.287617;0.176454;2.606419
21;3.284941;0.183302;2.590128
22;3.365907;0.162230;2.638326
23;3.306768;0.168278;2.627079
24;3.317712;0.147958;2.673927
25;3.301657;0.142714;2.528333
26;3.316480;0.137328;2.552342
27;3.302470;0.133952;2.515654
28;3.286354;0.128550;2.493478
29;3.290473;0.125133;2.573507
30;3.341915;0.119744;2.515155
31;3.336443;0.116250;2.583725
32;3.287497;0.112483;2.544586
33;3.292969;0.214397;2.684080
34;3.289541;0.207331;2.651289
35;3.301657;0.200339;2.627315
36;3.297298;0.196982;2.599958
37;3.334519;0.189811;2.755353
38;3.295915;0.186224;2.617040
39;3.323605;0.182560;2.641731
40;3.287226;0.175440;2.578048
41;3.333737;0.172195;2.662458
42;3.287888;0.192755;2.600746
43;3.367411;0.164970;2.643389
44;3.293390;0.177830;2.620816
45;3.356617;0.157917;2.633827
46;3.286294;0.178224;2.578499
47;3.294863;0.150989;2.594336
48;3.298771;0.147123;2.549687
49;3.296847;0.147235;2.566765
50;3.291886;0.143702;2.524339
51;3.340321;0.140371;2.645092
52;3.293179;0.136848;2.571197
53;3.316329;0.153315;2.641574
54;3.313022;0.151933;2.734483
55;3.324266;0.129581;2.535283
56;3.290774;0.129562;2.522890
57;3.331182;0.126253;2.575504
58;3.299072;0.126029;2.514477
59;3.323906;0.139690;2.576941
60;3.284250;0.118947;2.483113
61;3.403970;0.119357;2.590397
62;3.289571;0.140368;2.529107
63;3.443386;0.115536;2.631232
64;3.288760;0.135974;2.520483
65;3.539445;0.164938;2.674445
66;3.282806;0.164963;2.588525
67;3.304093;0.159763;2.692743
68;3.399461;0.200643;2.600202
69;3.286144;0.154422;2.631926
70;3.289331;0.154365;2.563562
71;3.297087;0.171091;2.598128
72;3.292458;0.148976;2.562500
73;3.458328;0.149011;2.600377
74;3.294863;0.143686;2.544550
75;3.314345;0.143763;2.557424
76;3.291736;0.159360;2.601242
77;3.285332;0.138538;2.562688
78;3.312601;0.138390;2.572678
79;3.288579;0.162070;2.551395
80;3.291886;0.133130;2.581229
