BLOCKSIZE;CPU_TIME;GPU_CALCULATION;GPU_TOTAL
1;1.484206;1.530278;2.838464
2;1.512167;0.774106;2.108413
3;1.568841;0.510013;1.930454
4;1.545149;0.383824;1.703507
5;1.468813;0.321523;1.592489
6;1.572027;0.258803;1.528490
7;1.742438;0.222259;1.612777
8;1.671754;0.195216;1.542893
9;1.566195;0.175008;1.497382
10;1.599176;0.157350;1.466842
11;1.576417;0.144432;1.475210
12;1.629302;0.132630;1.459725
13;1.504861;0.123181;1.439725
14;1.566345;0.114678;1.458323
15;1.481771;0.107546;1.428509
16;1.587842;0.100499;1.444909
17;1.582731;0.095994;1.480176
18;1.461207;0.091414;1.276778
19;1.483365;0.086387;1.293840
20;1.575455;0.081789;1.352557
21;1.456516;0.078333;1.259658
22;1.505192;0.075923;1.336784
23;1.458771;0.072320;1.209706
24;1.461116;0.069898;1.256729
25;1.440942;0.067901;1.210093
26;1.435380;0.065194;1.143555
27;1.559460;0.062755;1.200634
28;1.479185;0.060525;1.184070
29;1.519293;0.059318;1.253136
30;1.440251;0.056822;1.117482
31;1.443017;0.055706;1.146298
32;1.440882;0.053350;1.178976
33;1.450744;0.097517;1.255309
34;1.571306;0.094854;1.298682
35;1.449150;0.092771;1.289770
36;1.443528;0.090496;1.213606
37;1.442566;0.088006;1.237654
38;1.480779;0.085565;1.257798
39;1.478314;0.083366;1.287923
40;1.455584;0.081059;1.300326
41;1.446384;0.081030;1.244186
42;1.443799;0.078563;1.212339
43;1.464183;0.076317;1.239840
44;1.574252;0.076419;1.340672
45;1.445753;0.073824;1.224048
46;1.462199;0.071619;1.296051
47;1.451405;0.071514;1.213504
48;1.481471;0.068944;1.321674
49;1.452788;0.068979;1.284822
50;1.444701;0.066707;1.204234
51;1.447557;0.066736;1.212288
52;1.473864;0.064432;1.224608
53;1.463010;0.064474;1.342256
54;1.439950;0.062032;1.205206
55;1.442416;0.061878;1.182960
56;1.440371;0.059603;1.180416
57;1.576808;0.059606;1.305962
58;1.467039;0.059917;1.238166
59;1.452518;0.057245;1.190538
60;1.448339;0.057219;1.173597
61;1.445362;0.054938;1.172003
62;1.474135;0.055539;1.274426
63;1.468753;0.055066;1.292701
64;1.438026;0.052544;1.166448
65;1.443378;0.076246;1.228032
66;1.446625;0.076230;1.233053
67;1.468001;0.076358;1.317162
68;1.448910;0.072538;1.218678
69;1.444310;0.072554;1.191862
70;1.442686;0.072666;1.257328
71;1.445031;0.072691;1.239728
72;1.481020;0.069094;1.338781
73;1.448369;0.069011;1.212122
74;1.459763;0.069104;1.258141
75;1.439860;0.069133;1.181734
76;1.454863;0.065523;1.256154
77;1.465266;0.065811;1.337197
78;1.447767;0.065709;1.199514
79;1.457569;0.065594;1.236746
80;1.459463;0.061997;1.213395
81;1.446535;0.061939;1.227232
82;1.488957;0.062022;1.270362
83;1.445542;0.061978;1.195376
