BLOCKSIZE;CPU_TIME;GPU_CALCULATION;GPU_TOTAL
186;56.602730;1.867654;40.037170
187;56.331055;1.867584;39.905388
188;57.001152;1.867277;37.911137
189;56.635979;1.867078;38.839321
190;56.446026;1.868243;37.680351
191;57.115166;1.822150;38.269196
192;56.270805;1.936218;38.644211
193;56.328114;2.124409;37.944981
194;55.907196;2.123878;38.547661
195;56.193596;2.123852;38.164742
196;56.209114;2.070413;38.767677
197;55.962578;2.070259;38.240692
198;56.101662;2.070528;38.731621
199;56.275562;2.070598;38.244133
200;58.418434;2.070483;39.111744
201;56.096550;2.017946;37.831028
202;56.766041;2.017594;38.801685
203;56.302734;2.018202;37.882183
204;56.344887;2.043719;38.457558
205;56.284039;2.017805;38.075218
206;56.478802;1.979501;38.393402
207;56.454742;1.996928;38.866676
208;56.118977;1.964467;37.739136
209;56.297565;1.997734;38.313938
210;56.584808;1.965165;38.206787
211;56.183372;1.965178;37.797298
212;56.249825;1.912506;37.540142
213;56.402374;1.912288;37.493629
214;57.332714;1.912621;37.990726
215;56.460217;1.913555;38.452385
216;56.224022;1.943783;38.917229
217;56.088856;1.912506;38.174477
218;56.298347;1.859328;37.298210
219;56.262932;1.859795;37.732502
220;59.455872;1.859923;37.332256
221;56.407604;1.860026;37.689342
222;56.356556;1.859910;37.231255
223;56.300453;1.928883;38.036072
224;56.416801;1.858905;38.766411
225;56.368397;2.063430;38.041584
226;56.514637;2.063725;38.030602
227;56.466175;2.063885;37.684772
228;56.317352;2.064013;38.589577
229;55.948444;2.064275;37.775734
230;56.232323;2.064051;38.045357
231;56.087410;2.003098;38.219204
232;56.510670;2.002918;37.665298
233;56.017895;2.003386;38.550926
234;56.507599;2.286880;39.422218
235;56.972115;2.003219;40.309486
236;56.170929;2.003750;38.100147
237;56.591362;2.004006;38.628162
238;56.069191;2.071386;37.742527
239;55.808098;1.943539;37.622242
240;56.072376;1.976301;38.771629
241;56.362267;1.943437;37.619419
242;57.094837;1.974534;37.975246
243;56.832909;1.975027;37.901741
244;56.469116;1.943654;38.087021
245;56.326965;1.944038;37.949181
246;55.934437;1.883354;37.630272
247;56.506157;1.882970;38.114071
248;56.264366;1.882784;37.395828
249;56.578438;1.882854;38.862133
250;55.908821;2.111066;39.161846
251;56.248016;1.882886;38.437332
252;56.137077;1.883149;39.074852
253;56.624378;2.259270;40.337669
254;56.409828;1.823270;39.467335
255;56.083565;1.822560;38.163017
256;56.061493;1.820941;37.903919
257;56.282898;2.049005;38.040688
258;56.191437;2.200845;38.279213
259;56.047962;2.048800;37.645073
260;56.189568;2.079507;38.437981
261;57.035431;2.049549;38.794788
262;56.136116;2.049107;37.832474
263;57.175892;1.980729;38.850231
264;56.359924;1.980166;37.718384
265;56.326305;2.011776;39.024864
266;56.625099;1.981261;38.112999
267;56.317284;1.981107;38.348633
268;56.226006;1.981114;37.818733
269;56.317528;1.980960;38.180408
270;56.027760;2.028173;37.833427
271;56.690636;2.053734;38.666454
272;56.315247;1.980819;37.812317
273;56.556435;1.912761;38.642632
274;56.302742;1.913402;38.180126
275;56.899830;1.913146;38.464611
276;56.258598;1.913402;37.783833
277;56.369667;1.944262;38.181820
278;56.244648;1.912851;37.489124
279;57.206921;1.912813;38.561466
280;56.346931;1.980845;37.964520
281;57.045410;1.913120;39.278336
282;56.506763;1.913402;37.683159
283;56.296547;1.845069;38.891098
284;56.171104;1.881389;38.937469
285;56.478863;1.845235;37.676334
286;56.200512;1.845491;38.718956
287;56.639290;1.845594;38.209290
288;56.227093;1.844371;38.011909
289;56.193657;2.049581;37.718426
290;56.355175;2.049606;38.022331
291;55.999622;2.049920;38.406654
292;56.521069;2.049811;37.756298
293;56.338573;2.006214;38.935539
294;56.075142;2.041831;38.498665
295;56.184216;1.988371;38.121193
296;56.390289;1.973402;37.559242
297;56.622387;2.034752;37.955143
298;55.758736;1.973114;37.850552
299;56.478138;1.973158;37.898674
300;56.046997;1.972883;38.304543
301;55.844421;1.973485;37.390747
302;56.257820;2.009286;39.307419
303;55.911285;1.973555;37.829170
304;56.287163;2.040154;38.083839
305;56.067924;1.943929;37.745750
306;56.450600;1.897683;37.146690
307;56.368877;1.979680;37.781197
308;55.902386;1.897946;37.889950
309;56.539894;1.962131;38.014679
310;56.798332;1.959047;38.692791
311;56.349098;1.897779;37.645702
312;56.580299;1.897715;38.198456
313;56.523895;1.898381;37.424255
314;56.340080;1.930048;37.984467
315;56.491966;1.980826;37.909508
316;56.612953;1.898215;39.198372
317;55.953136;1.898138;37.787579
318;56.355652;1.855341;38.012390
319;56.498463;1.822797;38.185230
320;56.476875;1.821286;37.664936
321;56.027519;2.004371;37.644478
322;57.937145;2.093344;38.968647
323;56.214703;2.004429;37.935642
324;56.530811;2.003571;38.029182
325;56.352703;2.004153;38.060070
326;56.258125;2.003942;38.838650
327;56.316326;2.067680;38.401543
328;57.836372;2.004736;41.824837
329;56.158062;2.197114;39.843506
330;56.470318;2.072397;38.587540
331;56.311878;2.106413;38.095226
332;56.263893;1.920845;37.930580
333;56.028179;1.921414;37.720818
334;57.030621;1.921082;38.760170
335;56.162933;1.920653;37.531582
336;56.979931;1.920377;37.775654
337;56.178387;1.920768;38.921211
338;58.112732;1.920320;37.725449
339;56.175133;1.920691;38.510162
340;56.429554;1.985715;37.934166
341;56.159264;1.950982;37.978737
342;56.361004;1.920429;37.171577
