BLOCKSIZE;CPU_TIME;GPU_CALCULATION;GPU_TOTAL
1;30.703346;5.855328;8.569856
2;35.737492;2.749184;5.274976
3;34.623268;1.729536;4.426752
4;33.861412;1.265920;3.871744
5;31.620340;0.997632;3.502080
6;31.058418;0.813184;3.594240
7;35.243816;0.685504;3.168448
8;32.591450;0.596384;3.624960
9;33.065582;0.531872;3.138048
10;32.527111;0.479104;2.887712
11;32.214432;0.436672;3.369984
12;36.800602;0.401408;3.190784
13;34.148838;0.370432;3.032544
14;31.427320;0.343584;3.084288
15;34.218288;0.321760;3.004544
16;31.934221;0.300992;3.035424
17;30.530170;0.284032;3.097760
18;32.197292;0.269856;2.734080
19;32.604378;0.254752;3.333120
20;32.438419;0.241664;3.204096
21;30.636301;0.231008;2.819520
22;30.173594;0.221184;2.772032
23;30.447491;0.212448;2.702816
24;30.510927;0.202752;2.973152
25;30.424038;0.196160;2.742272
26;31.961281;0.188288;3.014976
27;30.319412;0.181248;2.709632
28;31.664234;0.176064;2.615744
29;30.195242;0.169568;2.613280
30;30.442678;0.164544;2.656800
31;31.369896;0.158816;2.862080
32;30.356693;0.153920;2.887680
33;31.634470;0.352608;3.538144
34;32.099281;0.172544;2.938880
35;30.418627;0.168960;2.881728
36;31.214157;0.164384;2.782208
37;31.571634;0.162816;3.341312
38;30.766182;0.157056;2.812032
39;30.120680;0.242528;3.034240
40;30.328430;0.150848;3.066208
41;30.424339;0.146208;3.107840
42;30.627581;0.241664;3.063200
43;30.153751;0.140448;3.176992
44;30.147137;0.137152;2.623488
45;30.403595;0.134240;2.725120
46;30.570156;0.131616;3.207168
47;31.146811;0.130048;3.113984
48;30.705450;0.127072;3.028992
49;30.475752;0.125440;3.119104
50;30.632092;0.122944;3.209216
51;31.010914;0.121184;2.658816
52;31.142300;0.117792;2.970752
53;30.130301;0.117152;3.040352
54;30.213280;0.113952;2.879488
55;30.169085;0.112480;2.973696
56;30.209372;0.109632;2.746880
57;31.249935;0.108000;2.786592
58;30.228615;0.109568;3.478528
59;30.212379;0.107008;3.144704
60;30.218693;0.103776;2.651488
61;30.178406;0.103424;2.648448
62;30.996483;0.102176;2.710528
63;30.374130;0.100352;2.908352
64;30.142628;0.094048;3.261440
65;30.345268;0.139648;2.801984
66;30.584288;0.137888;2.945312
67;30.887045;0.138240;2.933760
68;30.982954;0.137216;2.813184
69;30.238535;0.133216;2.808832
70;30.087908;0.132544;3.057664
71;30.467031;0.129632;2.762208
72;30.503412;0.126240;2.803232
73;30.790535;0.126176;2.945440
74;30.508223;0.124000;2.935872
75;30.253569;0.122784;3.174560
76;30.210875;0.121664;2.954240
77;30.655241;0.118784;2.885824
78;31.179882;0.117152;2.860032
79;30.254770;0.116288;2.872672
80;30.574966;0.115360;2.756608
81;30.317007;0.113472;2.721792
82;30.254169;0.112640;2.662400
83;30.915007;0.111616;2.651136
84;30.199150;0.110656;3.029280
85;30.229216;0.109984;2.878688
86;30.111059;0.108544;2.872352
87;30.216888;0.107008;2.620416
88;30.642313;0.107520;3.131712
89;30.964314;0.104896;2.868512
90;30.728901;0.104768;2.956288
91;30.288744;0.102592;2.667520
92;30.230719;0.102528;2.703904
93;30.187124;0.101248;2.565568
94;32.002472;0.103264;3.317184
95;30.179306;0.100960;2.811904
96;30.140823;0.094496;2.634144
97;30.917711;0.285504;3.131520
98;30.155855;0.128096;2.771968
99;32.592651;0.123488;2.867488
100;30.888849;0.122368;3.166336
101;30.526562;0.123648;3.171328
102;30.545803;0.122304;2.970624
103;30.234627;0.119712;2.746368
104;31.140497;0.117216;2.787328
105;30.240940;0.118976;3.240128
106;30.151648;0.117312;2.852896
107;30.155254;0.114528;2.734080
108;30.390064;0.114496;2.778336
109;30.864798;0.112992;2.954656
110;30.248457;0.111936;2.841600
111;30.200352;0.112096;3.074112
112;30.697634;0.109024;2.839808
113;30.183516;0.110784;2.703648
114;30.491686;0.108928;2.824192
115;30.301071;0.110848;3.079488
116;30.642614;0.109568;2.855328
117;30.140823;0.106304;2.636064
118;30.250261;0.106112;2.769920
119;30.183216;0.106208;2.777088
120;30.848261;0.104448;3.244032
121;30.172392;0.105952;2.869280
122;30.588196;0.103648;3.019776
123;30.289045;0.101632;2.683904
124;31.927307;0.102912;2.600960
125;38.697124;0.101376;2.740736
126;38.256966;0.102144;3.174400
127;30.126392;0.099872;2.977792
128;30.298367;0.095296;2.537472
129;30.131804;0.122880;2.663424
130;30.816391;0.122048;3.045536
131;30.332941;0.120544;3.037472
132;30.241241;0.119104;2.735360
133;30.188627;0.117504;2.819424
134;30.144131;0.119744;2.697312
135;30.924026;0.116896;2.690048
136;30.416523;0.115360;3.144800
137;30.185621;0.114784;2.956384
138;30.122183;0.114688;2.761792
139;30.187424;0.112640;2.789760
140;30.865097;0.112992;2.707648
141;30.290249;0.111616;3.020800
142;30.278824;0.111744;2.919680
143;30.174196;0.109056;2.718720
144;30.174196;0.109376;2.722272
145;30.153751;0.109248;2.809888
146;30.685907;0.108544;2.916352
147;30.191334;0.107936;2.823200
148;30.263491;0.109792;2.792800
149;30.165176;0.106688;2.667520
150;30.158863;0.107168;2.799072
151;32.791386;0.106080;2.870272
152;30.456209;0.105472;3.823616
153;30.159163;0.104448;2.930688
154;30.315804;0.104000;2.642336
155;30.177803;0.103936;3.026944
156;30.836235;0.103360;2.677792
157;30.229515;0.102400;2.901536
158;30.095123;0.102432;2.870272
159;30.870510;0.099776;2.909408
160;30.243647;0.095424;2.839904
161;30.782417;0.119808;2.773312
162;41.591816;0.118816;3.137888
163;30.235830;0.118368;2.818048
