BLOCKSIZE;CPU_TIME;GPU_CALCULATION;GPU_TOTAL
1;8.349180;1.374336;2.255075
2;8.495779;0.625350;1.568253
3;7.994740;0.427187;1.314320
4;7.905626;0.321110;1.344646
5;8.715918;0.271280;1.208176
6;7.841045;0.216326;1.109526
7;8.240614;0.194656;1.108944
8;8.387514;0.163286;1.054784
9;8.456093;0.146653;1.068810
10;7.848833;0.131936;1.005735
11;8.021889;0.120368;1.032557
12;7.808155;0.111210;0.952387
13;7.811552;0.102669;0.971149
14;8.004842;0.095930;0.958896
15;7.787619;0.089558;0.955277
16;7.807853;0.083894;0.942330
17;7.802292;0.080323;0.954883
18;7.647875;0.076861;0.872048
19;8.009532;0.072710;0.940976
20;7.656835;0.068429;0.948739
21;7.691110;0.065696;0.941280
22;7.644900;0.064070;0.868154
23;7.712396;0.060342;0.902874
24;7.759148;0.059091;0.982298
25;7.803825;0.056998;0.975187
26;7.711104;0.054640;0.875712
27;7.724753;0.052835;0.880730
28;7.669102;0.050733;0.904118
29;7.662037;0.049770;0.870166
30;7.846939;0.047456;0.905162
31;7.671027;0.046480;0.878413
32;7.747211;0.044618;0.928950
33;7.708549;0.044259;0.873731
34;7.857582;0.043152;0.928941
35;7.658458;0.042438;0.901066
36;7.817113;0.040918;0.961149
37;7.638587;0.039939;0.911738
38;7.740087;0.038928;0.978502
39;7.664442;0.037571;0.925571
40;7.911458;0.037798;0.972042
41;7.617960;0.037315;0.909840
42;8.033524;0.036755;0.971030
43;7.692974;0.034890;0.893869
44;7.791377;0.035494;0.939683
45;7.693455;0.034035;0.918346
46;7.712065;0.033776;0.974582
47;7.696341;0.033066;0.918211
48;7.670064;0.031907;0.926387
49;7.825803;0.032067;0.914659
50;7.845495;0.031533;0.883165
51;7.763056;0.031021;0.920291
52;7.940111;0.030765;0.944569
53;7.905115;0.030176;0.916355
54;7.867323;0.029434;0.874829
55;7.887437;0.029498;0.904515
56;7.804095;0.028298;0.898614
57;7.709599;0.027952;0.845114
58;7.828599;0.028973;0.940509
59;7.920929;0.027414;0.926656
60;7.913594;0.028278;0.913498
61;7.807974;0.026570;0.912986
62;7.942877;0.026349;0.964342
63;7.789363;0.026400;0.854179
64;7.798864;0.025536;0.893706
65;7.703075;0.035360;0.893379
66;7.907190;0.034339;0.935408
67;7.757585;0.034179;0.888630
68;7.845706;0.033149;0.934022
69;7.728992;0.033130;0.904141
70;7.903100;0.032656;0.968442
71;7.708848;0.032736;0.862144
72;7.823668;0.031702;0.897027
73;7.731277;0.031584;0.869434
74;7.775172;0.031981;0.946381
75;8.043446;0.031427;0.929546
76;7.905025;0.030266;0.911440
77;7.708848;0.031245;0.904131
78;7.820752;0.029546;0.889594
79;7.747452;0.029728;0.899510
80;8.058328;0.029094;0.987731
81;7.780554;0.028883;0.878877
82;7.845164;0.028522;0.905910
83;7.747242;0.028662;0.915014
84;7.718529;0.028698;0.881994
85;7.753525;0.028330;0.898842
86;7.730075;0.027386;0.905437
87;7.772467;0.027414;0.892227
88;7.725685;0.027101;0.891107
89;7.682000;0.027258;0.911504
90;7.743604;0.026950;0.896179
91;7.761492;0.026941;0.869062
92;7.703046;0.026054;0.862397
93;7.721626;0.026042;0.855075
94;7.766784;0.025824;0.929626
95;7.905206;0.025763;0.927523
96;7.727820;0.025731;0.893610
97;7.771174;0.032122;0.920538
98;7.709630;0.031994;0.914195
99;7.734553;0.030448;0.886483
100;7.768708;0.030646;0.880803
101;7.780704;0.030688;0.853008
102;7.724181;0.030237;0.919552
103;7.775233;0.030336;0.922416
104;7.745318;0.029862;0.890938
105;7.794055;0.029821;0.922163
106;7.690087;0.029795;0.877104
107;7.701211;0.028778;0.894218
108;7.730556;0.028608;0.880592
109;7.876192;0.028624;0.890979
110;7.736929;0.028624;0.903504
111;7.732570;0.028182;0.872854
112;7.823939;0.028330;0.919258
113;7.757344;0.028246;0.901130
114;7.762034;0.027968;0.903261
115;7.731247;0.027802;0.902630
116;7.768258;0.028013;0.916710
117;7.783259;0.026934;0.912077
118;7.804035;0.027037;0.905578
119;7.685337;0.026749;0.854931
120;7.747061;0.027254;0.905872
121;7.777758;0.026646;0.857616
122;7.763297;0.026912;0.876720
123;7.792219;0.026435;0.893584
124;7.810410;0.026234;0.928266
125;7.721265;0.026102;0.890285
126;7.804667;0.026032;0.924342
127;7.730856;0.026138;0.892038
128;7.739485;0.025066;0.889776
129;7.708488;0.029917;0.884275
130;7.782809;0.029965;0.886435
131;7.778179;0.030394;0.946486
132;7.733532;0.029302;0.883094
133;7.699889;0.029421;0.928554
134;7.734554;0.029443;0.896928
135;7.758937;0.029098;0.907190
136;7.738553;0.028774;0.890099
137;7.832447;0.029654;0.928138
138;7.695619;0.029030;0.882960
139;7.846397;0.028614;0.896832
140;7.784673;0.028646;0.906310
141;8.202131;0.028694;0.927955
142;7.752112;0.028640;0.875027
143;7.829922;0.028205;0.918026
144;7.762215;0.027315;0.877354
145;7.731938;0.027533;0.897491
146;7.710261;0.027552;0.913200
147;7.762815;0.027347;0.900237
148;7.714411;0.027043;0.897411
149;7.738492;0.026938;0.905504
150;7.692703;0.027024;0.898701
151;8.043866;0.027683;0.954678
152;7.719582;0.026627;0.904723
153;7.817655;0.026682;0.905786
154;7.721866;0.026781;0.930086
155;7.769460;0.026659;0.888458
156;7.698386;0.026672;0.933546
157;7.806079;0.026282;0.928771
158;7.753284;0.026070;0.899008
159;7.746881;0.026317;0.908470
160;7.735335;0.025014;0.886246
161;7.852470;0.029123;0.901635
162;7.752473;0.029334;0.850173
163;7.747873;0.029126;0.872483
164;7.781877;0.029760;0.898640
165;7.681369;0.028512;0.896963
166;7.789784;0.028605;0.901264
167;7.698385;0.029174;0.866291
168;7.780434;0.028666;0.900310
169;7.693395;0.028525;0.854778
170;7.751811;0.028522;0.915840
171;7.732329;0.028384;0.873187
172;7.845496;0.028973;0.896957
173;7.728120;0.028362;0.842032
174;7.738011;0.027821;0.860480
175;7.728210;0.027734;0.904230
176;7.804787;0.027770;0.908227
177;7.690178;0.028115;0.871398
178;7.751992;0.027741;0.911453
179;7.729924;0.027638;0.895251
180;7.806561;0.027610;0.897872
181;7.711284;0.027530;0.884115
182;7.987825;0.027754;0.889971
183;7.812274;0.026458;0.936982
184;7.788311;0.026294;0.893270
185;7.749135;0.026746;0.904336
186;7.752804;0.026195;0.899360
187;7.749166;0.026253;0.905843
188;7.765822;0.026160;0.887206
189;7.737771;0.026032;0.898480
190;7.777307;0.025776;0.906784
191;7.830884;0.026285;0.925059
192;7.821383;0.026371;0.942733
193;7.789032;0.029418;0.860173
194;7.694958;0.029075;0.875331
195;7.756292;0.029750;0.927427
196;7.715642;0.028826;0.876419
197;7.752563;0.028829;0.929974
198;7.706443;0.028198;0.891805
199;7.820512;0.028397;0.907158
200;7.711464;0.028896;0.884032
201;7.771385;0.029181;0.904496
202;7.842760;0.028403;0.899558
203;7.872885;0.028026;0.901673
204;7.722497;0.027968;0.873062
205;7.852771;0.028192;0.931731
206;7.731157;0.028061;0.886413
207;7.724242;0.027990;0.931101
208;7.724813;0.027763;0.881523
209;7.857310;0.028442;0.915664
210;7.696972;0.028266;0.888832
211;7.778810;0.027658;0.918656
212;7.840745;0.027776;0.883914
213;7.814678;0.028112;0.899984
214;7.757313;0.026704;0.879978
215;7.847570;0.026211;0.899139
216;7.716245;0.026064;0.876787
217;7.792701;0.026096;0.899078
218;7.750941;0.026166;0.936029
219;7.789874;0.025798;0.874336
220;7.718470;0.025859;0.867018
221;7.763567;0.025702;0.882704
222;7.748474;0.026010;0.925027
223;7.881875;0.025667;0.854243
224;7.781997;0.025514;0.878675
225;7.721836;0.028301;0.877882
226;8.385018;0.028627;0.915517
227;7.743815;0.028550;0.891747
228;8.157094;0.028438;0.924394
229;7.723310;0.028406;0.886112
230;7.902048;0.028352;0.924957
231;7.712486;0.028186;0.895802
232;7.835273;0.027904;0.902858
233;7.791047;0.028160;0.932214
234;7.746520;0.027843;0.902310
235;7.743543;0.027722;0.892701
236;7.834492;0.028083;0.901894
237;7.771655;0.027856;0.908768
238;7.839783;0.027696;0.902915
239;7.663480;0.027478;0.873162
240;7.861310;0.027664;0.915043
241;7.737620;0.027904;0.897757
242;7.760049;0.027712;0.925658
243;7.787379;0.027354;0.931318
244;8.052255;0.027360;0.896022
245;7.755539;0.027328;0.893082
246;7.758185;0.027190;0.912058
247;7.694928;0.027914;0.903123
248;7.731097;0.027510;0.883190
249;7.706683;0.027360;0.904272
250;7.753615;0.027027;0.881670
251;7.721776;0.027037;0.870845
252;7.719792;0.026781;0.868797
253;7.830283;0.027779;0.964099
254;7.716695;0.026666;0.880413
255;7.759207;0.026755;0.915949
256;7.718018;0.024947;0.885434
257;7.750548;0.028374;0.932525
258;7.671597;0.027859;0.902221
259;7.760139;0.028054;0.908899
260;7.684796;0.028096;0.880662
261;7.720574;0.027894;0.894685
262;7.651574;0.027773;0.887571
263;8.680049;0.028144;0.908032
