BLOCKSIZE;CPU_TIME;GPU_CALCULATION;GPU_TOTAL
1;17.926170;3.109344;4.630368
2;17.684746;1.519168;3.039232
3;22.493097;0.962240;2.635776
4;26.833033;0.712768;2.417952
5;25.460548;0.560128;2.279424
6;30.485973;0.459456;2.322624
7;18.665777;0.388608;2.233696
8;18.450809;0.336960;2.042880
9;22.103149;0.301376;1.822080
10;17.404837;0.272032;2.179072
11;17.651974;0.247648;1.846752
12;17.184757;0.351840;1.905824
13;17.721725;0.210592;1.867776
14;21.159098;0.196320;1.805376
15;19.248144;0.183200;1.756320
16;17.198288;0.171360;1.777664
17;18.953203;0.162560;1.959936
18;19.654928;0.154112;1.747136
19;17.264732;0.146880;1.773568
20;17.282770;0.138944;1.644544
21;17.851608;0.132960;1.884192
22;19.741817;0.127168;1.858560
23;18.435778;0.122720;1.799168
24;17.691359;0.116192;1.854464
25;17.071112;0.113248;1.862656
26;17.188967;0.107936;1.747968
27;18.281242;0.106304;1.652768
28;17.707594;0.101536;1.667552
29;20.572823;0.099872;1.677312
30;17.469175;0.095232;1.728512
31;18.797464;0.092224;2.035712
32;20.350039;0.088800;1.977728
33;17.427084;0.105472;2.211104
34;17.442118;0.099936;2.146400
35;18.106260;0.096256;2.356704
36;17.148378;0.094688;1.864704
37;17.747280;0.092544;1.865728
38;17.274652;0.090112;2.035040
39;17.335987;0.087552;1.778784
40;17.486313;0.084800;1.667424
41;17.105085;0.083392;2.250752
42;17.311634;0.080800;1.692672
43;17.575909;0.079168;1.753088
44;17.647764;0.079872;2.319744
45;21.211712;0.076960;2.392064
46;27.406981;0.077312;1.778688
47;17.882275;0.078240;2.178048
48;17.073215;0.073600;1.470464
49;16.956863;0.073152;1.822720
50;17.010380;0.074080;1.752064
51;17.035032;0.071840;1.733088
52;17.238876;0.072064;1.791456
53;17.248497;0.069376;1.759232
54;17.136953;0.069632;1.793024
55;17.172731;0.066560;2.188640
56;17.363647;0.067584;1.980416
57;17.031725;0.065792;1.958112
58;17.032627;0.066944;1.820768
59;18.295073;0.064736;1.820672
60;16.979712;0.062080;1.729888
61;16.966784;0.064032;1.792032
62;17.464066;0.061792;2.136064
63;17.010380;0.059872;2.193408
64;17.096066;0.056992;1.782784
65;17.446026;0.082208;1.828864
66;16.966784;0.081408;1.851776
67;16.966484;0.079872;1.918976
68;16.942131;0.079872;1.877248
69;16.997751;0.076864;1.816800
70;16.950850;0.076256;1.852416
71;17.086744;0.076256;1.881600
72;19.758953;0.073344;1.657856
73;17.014889;0.073216;1.890688
74;17.045254;0.074752;1.825952
75;17.039843;0.073728;1.828384
76;16.990837;0.072160;1.943552
77;16.946039;0.071680;1.952864
78;17.253006;0.071680;1.869824
79;16.933111;0.070656;1.831232
80;17.238876;0.069984;1.966496
81;17.558771;0.066784;1.797120
82;16.960169;0.067584;1.918976
83;17.029621;0.069632;1.738816
84;16.983622;0.067584;1.802304
85;16.969791;0.067584;1.907008
86;17.395515;0.064864;2.019328
87;17.499844;0.066560;1.859584
88;16.941830;0.062272;1.695744
89;19.898758;0.064960;1.808704
90;18.220209;0.062112;1.746944
91;17.948719;0.062464;2.098176
92;17.376575;0.060448;1.909760
93;17.018797;0.060416;1.972224
94;16.975504;0.061440;1.854464
95;17.401228;0.060448;1.984608
96;17.103882;0.057344;2.091200
97;16.980314;0.074816;1.823744
98;19.552706;0.072352;2.154496
99;17.643255;0.072608;2.012160
100;17.011581;0.073728;1.907712
101;17.293293;0.073728;2.195456
102;17.292692;0.072704;1.990848
103;17.219334;0.071840;1.808768
104;17.317646;0.071904;1.991040
105;17.256914;0.070656;2.050464
106;18.344379;0.071680;2.093120
107;17.472784;0.069728;1.839456
108;17.044052;0.069632;1.775040
109;17.012785;0.070656;2.027520
110;17.525398;0.068864;1.843264
111;17.108393;0.068608;1.801216
