BLOCKSIZE;CPU_TIME;GPU_CALCULATION;GPU_TOTAL
186;68.022873;0.225280;6.023456
187;67.843689;0.226080;5.778432
188;68.252876;0.224160;5.547008
189;68.049034;0.224672;5.691808
190;71.372757;0.223296;5.666112
191;68.207779;0.219584;6.598688
192;67.995819;0.209024;5.965088
193;68.576675;0.255136;5.650688
194;67.815125;0.246784;5.995552
195;69.665947;0.246400;5.899264
196;67.770927;0.244064;5.659040
197;67.740860;0.388992;5.722656
198;68.174103;0.386656;5.650784
199;67.823540;0.240480;5.765504
200;68.220703;0.240832;5.747840
201;67.801292;0.242048;5.629952
202;68.738731;0.241888;5.744704
203;68.008141;0.238112;6.395904
204;68.513542;0.235328;5.738496
205;68.737228;0.232448;6.088000
206;68.079094;0.233504;5.479872
207;69.841225;0.232736;5.716384
208;71.907921;0.233472;6.224064
209;68.058350;0.232000;5.507232
210;69.640991;0.232352;5.858304
211;67.886078;0.232160;5.732352
212;68.335556;0.231680;5.826912
213;68.084511;0.233344;5.650432
214;71.901009;0.224320;5.653728
215;67.918549;0.225280;5.966848
216;67.821434;0.453216;6.074400
217;69.084785;0.387072;6.359040
218;68.832832;0.223392;6.026240
219;69.121162;0.224640;5.848352
220;68.248970;0.224064;5.776672
221;68.355698;0.221504;5.486592
222;68.434769;0.222624;5.893568
223;67.819931;0.216608;5.504000
224;69.509003;0.211584;5.757952
225;67.927269;0.251072;5.522912
226;68.673790;0.238944;6.729728
227;68.459122;0.400864;6.404096
228;69.036980;0.239456;6.387712
229;71.549240;0.240320;5.858304
230;67.873451;0.239040;5.494784
231;68.536392;0.239104;5.699872
232;67.897202;0.236032;5.797152
233;68.061058;0.237568;5.652896
234;67.957329;0.235680;5.669888
235;68.147041;0.235712;5.434656
236;70.101295;0.236256;5.801024
237;69.804550;0.234592;6.031872
238;69.655121;0.234464;6.742016
239;68.031296;0.233408;5.525504
240;69.204445;0.228192;5.493216
241;75.518471;0.229312;5.647360
242;67.828049;0.228768;6.010880
243;69.539375;0.227072;5.920288
244;67.871346;0.227328;5.877760
245;67.834061;0.227200;5.967872
246;69.340942;0.227008;6.108160
247;68.599525;0.228352;5.653888
248;68.474754;0.223232;5.986304
249;68.057449;0.225280;5.723616
250;68.805473;0.226432;5.667072
251;67.852707;0.224640;5.788192
252;67.916740;0.223872;5.576704
253;69.400169;0.221696;5.935104
254;67.894196;0.224448;5.787968
255;69.703224;0.216032;5.627904
256;67.923355;0.208288;5.761024
257;67.921852;0.245664;5.916672
258;69.234810;0.460480;6.588416
259;68.853279;0.241024;5.890048
260;68.436577;0.241216;5.934080
261;68.645828;0.238304;5.639168
262;70.603081;0.239648;5.944864
263;67.922760;0.236928;5.597344
264;67.891487;0.236288;5.563520
265;68.267303;0.234912;5.467200
266;68.031891;0.236320;5.576832
267;69.195724;0.235584;5.783072
268;67.849098;0.234496;5.984256
269;68.414627;0.235488;5.916768
270;67.789871;0.457632;6.416384
271;67.811813;0.235104;5.956960
272;68.420036;0.232224;5.807200
273;69.548088;0.233408;5.977280
274;68.380653;0.233376;5.522528
275;69.229401;0.227904;6.086976
276;67.811516;0.229024;5.455936
277;68.295265;0.226688;5.830656
278;67.853004;0.225568;5.697536
279;68.853584;0.225120;5.669952
280;68.232735;0.223616;5.998048
281;68.391174;0.225280;5.628928
282;69.656624;0.223744;5.933056
283;68.697540;0.385152;6.114720
284;71.833656;0.223488;5.896192
285;68.644325;0.224992;5.948416
286;68.926041;0.224512;5.615616
287;67.828957;0.216640;5.621760
288;67.985596;0.215456;5.739904
289;68.658760;0.256288;6.600192
290;67.857513;0.251328;5.641440
291;71.834862;0.247168;5.700672
292;67.750481;0.397728;5.995584
293;67.868637;0.246784;5.841280
294;67.985596;0.246784;6.095872
295;67.906525;0.247040;5.800384
296;69.604912;0.238112;5.852160
297;68.159973;0.239040;5.995520
298;68.518051;0.238304;5.837824
299;67.880669;0.238432;5.544960
300;68.401100;0.239488;5.636096
301;68.604340;0.237568;6.073344
302;67.877663;0.237472;5.645312
303;68.562248;0.234912;5.767168
304;67.880363;0.235776;5.602592
305;68.135323;0.239040;5.715296
306;68.598930;0.236672;5.524608
307;67.974472;0.236928;5.792768
308;74.629738;0.234560;6.036480
309;67.979279;0.236416;5.850368
310;68.154861;0.236832;5.623136
311;67.944107;0.234944;6.118400
312;69.356873;0.234048;5.700608
313;68.967224;0.233600;5.749760
314;67.907722;0.233280;5.523456
315;68.465134;0.231680;5.820576
316;67.840675;0.230080;5.645312
317;67.794678;0.231616;5.829632
318;68.318115;0.229888;6.017024
319;67.988899;0.225024;5.768544
320;70.233582;0.369792;6.178816
